cust_id,lookalikes
C0048,"[('C0118', 0.9999999999999999), ('C0137', 0.9999999999999999), ('C0117', 0.9998318979250473)]"
C0049,"[('C0038', 0.9999999878819604), ('C0051', 0.9999995605008416), ('C0130', 0.9992450683425848)]"
C0050,"[('C0022', 1.0), ('C0034', 1.0), ('C0056', 1.0)]"
C0051,"[('C0049', 0.9999995605008416), ('C0038', 0.9999994024257306), ('C0130', 0.9992082057478632)]"
C0052,"[('C0066', 1.0), ('C0180', 0.9998632913349232), ('C0098', 0.9994933351414725)]"
C0053,"[('C0111', 0.9999805251770173), ('C0010', 0.9999562234968393), ('C0194', 0.9999188402686235)]"
C0054,"[('C0113', 0.999787951373979), ('C0042', 0.9983752408557681), ('C0115', 0.9963269025279413)]"
C0055,"[('C0015', 1.0000000000000002), ('C0063', 1.0000000000000002), ('C0072', 1.0000000000000002)]"
C0056,"[('C0022', 1.0), ('C0034', 1.0), ('C0050', 1.0)]"
C0057,"[('C0053', 0.9996540461246927), ('C0111', 0.9994704298197956), ('C0010', 0.9993641815373705)]"
C0058,"[('C0060', 0.9997216467688507), ('C0165', 0.9992508037046185), ('C0101', 0.9986849039993505)]"
C0059,"[('C0093', 0.999946108382226), ('C0132', 0.999921142512008), ('C0174', 0.9993014397056792)]"
C0060,"[('C0165', 0.999885750636032), ('C0058', 0.9997216467688507), ('C0101', 0.9996164946145472)]"
C0061,"[('C0041', 0.9998452769776488), ('C0114', 0.9997189659201892), ('C0125', 0.9997189659201892)]"
C0062,"[('C0001', 0.9999939877350381), ('C0005', 0.9999939877350381), ('C0009', 0.9999939877350381)]"
C0063,"[('C0015', 1.0000000000000002), ('C0055', 1.0000000000000002), ('C0072', 1.0000000000000002)]"
C0064,"[('C0178', 0.9999959992877371), ('C0154', 0.9994517059736884), ('C0045', 0.9978989171372724)]"
C0065,"[('C0122', 0.999885451954263), ('C0162', 0.9992476378389649), ('C0023', 0.9974945004509135)]"
C0066,"[('C0052', 1.0), ('C0180', 0.9998632913349232), ('C0098', 0.9994933351414725)]"
C0067,"[('C0177', 1.0), ('C0185', 0.9983893601024333), ('C0015', 0.9952120184759017)]"
C0068,"[('C0046', 0.9999702504470556), ('C0200', 0.9998278112005046), ('C0091', 0.999595486671078)]"
C0069,"[('C0199', 0.9999964775249481), ('C0109', 0.999730000095116), ('C0087', 0.999329354188945)]"
C0070,"[('C0193', 1.0), ('C0076', 0.9971069800234167), ('C0123', 0.9971069800234167)]"
C0071,"[('C0007', 0.9999715412516583), ('C0084', 0.998553523064482), ('C0058', 0.996080162492535)]"
C0072,"[('C0015', 1.0000000000000002), ('C0055', 1.0000000000000002), ('C0063', 1.0000000000000002)]"
C0073,"[('C0147', 0.9999999999999999), ('C0110', 0.9999552067787236), ('C0033', 0.998754272150145)]"
C0074,"[('C0158', 0.9999886960015865), ('C0172', 0.9999293498190533), ('C0134', 0.9996340070909432)]"
C0075,"[('C0008', 0.9999084732803017), ('C0096', 0.9999084732803017), ('C0155', 0.9999084732803017)]"
C0076,"[('C0123', 0.9999999999999999), ('C0108', 0.999964229736562), ('C0030', 0.9996030169602068)]"
C0077,"[('C0183', 0.999107278766178), ('C0003', 0.998961506400944), ('C0134', 0.998519696088775)]"
C0078,"[('C0152', 0.9997467099220072), ('C0091', 0.9981177673440181), ('C0068', 0.99596986197919)]"
C0079,"[('C0083', 1.0), ('C0094', 0.9996361695858951), ('C0175', 0.9971960328698685)]"
C0080,"[('C0161', 1.0), ('C0166', 1.0), ('C0170', 1.0)]"
C0081,"[('C0135', 0.9976654214779496), ('C0025', 0.9969214274154203), ('C0185', 0.9953233210737311)]"
C0082,"[('C0029', 0.9999873516505078), ('C0045', 0.9982207373815001), ('C0020', 0.9976701994315919)]"
C0083,"[('C0079', 1.0), ('C0094', 0.9996361695858951), ('C0175', 0.9971960328698685)]"
C0084,"[('C0071', 0.998553523064482), ('C0188', 0.9982156310937753), ('C0007', 0.9981194723181861)]"
C0085,"[('C0129', 0.999946694242532), ('C0008', 0.9999455021737358), ('C0096', 0.9999455021737358)]"
C0086,"[('C0104', 1.0000000000000002), ('C0136', 0.9998043786468022), ('C0115', 0.9996712559034523)]"
C0087,"[('C0109', 0.9999103917504979), ('C0069', 0.999329354188945), ('C0199', 0.9992286427837254)]"
C0088,"[('C0099', 0.9999999999999999), ('C0120', 0.9999999999999999), ('C0171', 0.9995670899569723)]"
C0089,"[('C0162', 0.9940258643425514), ('C0122', 0.9937783098069749), ('C0023', 0.9934752599487262)]"
C0090,"[('C0023', 0.9999904162879957), ('C0100', 0.9999904162879957), ('C0189', 0.9999904162879957)]"
C0091,"[('C0068', 0.999595486671078), ('C0046', 0.9993463729661671), ('C0152', 0.9992451595912956)]"
C0092,"[('C0002', 0.9981661910710148), ('C0090', 0.9931952588233522), ('C0023', 0.9926758678566545)]"
C0093,"[('C0132', 0.9999976311468485), ('C0059', 0.999946108382226), ('C0174', 0.9988596043889143)]"
C0094,"[('C0079', 0.9996361695858951), ('C0083', 0.9996361695858951), ('C0175', 0.9988516902991407)]"
C0095,"[('C0098', 0.9999951603384499), ('C0180', 0.9998305440029035), ('C0031', 0.9996686061983994)]"
C0096,"[('C0008', 0.9999999999999999), ('C0155', 0.9999999999999999), ('C0085', 0.9999455021737358)]"
C0097,"[('C0073', 0.998193717758735), ('C0147', 0.998193717758735), ('C0110', 0.9975803779157056)]"
C0098,"[('C0095', 0.9999951603384499), ('C0180', 0.999882977779807), ('C0031', 0.9995836790850277)]"
C0099,"[('C0088', 0.9999999999999999), ('C0120', 0.9999999999999999), ('C0171', 0.9995670899569723)]"
C0100,"[('C0023', 1.0), ('C0189', 1.0), ('C0090', 0.9999904162879957)]"
C0101,"[('C0165', 0.9999208788039833), ('C0021', 0.9999020301325388), ('C0030', 0.9997364355614278)]"
C0102,"[('C0143', 0.9995220051321139), ('C0186', 0.9995220051321139), ('C0024', 0.9977934955626148)]"
C0103,"[('C0164', 1.0), ('C0196', 0.999577429474427), ('C0190', 0.995910682136723)]"
C0104,"[('C0086', 1.0000000000000002), ('C0136', 0.9998043786468022), ('C0115', 0.9996712559034523)]"
C0105,"[('C0014', 1.0), ('C0022', 0.9999665661080244), ('C0034', 0.9999665661080244)]"
C0106,"[('C0092', 0.992603094353394), ('C0002', 0.9913176700565897), ('C0089', 0.9894995912498542)]"
C0107,"[('C0150', 0.9999997961188712), ('C0124', 0.9999900062884471), ('C0167', 0.9999422465090572)]"
C0108,"[('C0076', 0.999964229736562), ('C0123', 0.999964229736562), ('C0030', 0.9998055641942489)]"
C0109,"[('C0087', 0.9999103917504979), ('C0069', 0.999730000095116), ('C0199', 0.999664804010411)]"
C0110,"[('C0073', 0.9999552067787236), ('C0147', 0.9999552067787236), ('C0033', 0.999181823447355)]"
C0111,"[('C0010', 0.9999951451662302), ('C0053', 0.9999805251770173), ('C0194', 0.9999788778273013)]"
C0112,"[('C0036', 0.999998548883951), ('C0017', 0.9990885895853944), ('C0191', 0.9989749413591354)]"
C0113,"[('C0054', 0.999787951373979), ('C0042', 0.999336927669573), ('C0115', 0.9978789959295127)]"
C0114,"[('C0125', 1.0000000000000002), ('C0133', 1.0000000000000002), ('C0061', 0.9997189659201892)]"
C0115,"[('C0086', 0.9996712559034523), ('C0104', 0.9996712559034523), ('C0042', 0.9995874961098354)]"
C0116,"[('C0141', 0.9999999963258867), ('C0163', 0.999746680338638), ('C0167', 0.9989894500212813)]"
C0117,"[('C0048', 0.9998318979250473), ('C0118', 0.9998318979250473), ('C0137', 0.9998318979250473)]"
C0118,"[('C0048', 0.9999999999999999), ('C0137', 0.9999999999999999), ('C0117', 0.9998318979250473)]"
C0119,"[('C0004', 0.9999999999999999), ('C0195', 0.9999999999999999), ('C0182', 0.9999995144290006)]"
C0120,"[('C0088', 0.9999999999999999), ('C0099', 0.9999999999999999), ('C0171', 0.9995670899569723)]"
C0121,"[('C0041', 0.9986485624674729), ('C0061', 0.9975798471598418), ('C0114', 0.9956511887121828)]"
C0122,"[('C0065', 0.999885451954263), ('C0162', 0.9997201828273717), ('C0023', 0.9984509851651876)]"
C0123,"[('C0076', 0.9999999999999999), ('C0108', 0.999964229736562), ('C0030', 0.9996030169602068)]"
C0124,"[('C0150', 0.9999926572430128), ('C0107', 0.9999900062884471), ('C0167', 0.9999803013581446)]"
C0125,"[('C0114', 1.0000000000000002), ('C0133', 1.0000000000000002), ('C0061', 0.9997189659201892)]"
C0126,"[('C0160', 0.9997051094724243), ('C0197', 0.9996203097665627), ('C0182', 0.9995644826568478)]"
C0127,"[('C0013', 0.9988016746714496), ('C0039', 0.9988016746714496), ('C0187', 0.9988016746714496)]"
C0128,"[('C0148', 1.0), ('C0153', 0.9987636844357208), ('C0168', 0.9937091467033239)]"
C0129,"[('C0085', 0.999946694242532), ('C0008', 0.9997844052338306), ('C0096', 0.9997844052338306)]"
C0130,"[('C0159', 1.0000000000000002), ('C0038', 0.9992511043205303), ('C0049', 0.9992450683425848)]"
C0131,"[('C0200', 0.9997067696850551), ('C0046', 0.9993854038255614), ('C0068', 0.9990852797244377)]"
C0132,"[('C0093', 0.9999976311468485), ('C0059', 0.999921142512008), ('C0004', 0.9989164360945896)]"
C0133,"[('C0114', 1.0000000000000002), ('C0125', 1.0000000000000002), ('C0061', 0.9997189659201892)]"
C0134,"[('C0003', 0.9999609251369859), ('C0183', 0.9999260615251416), ('C0158', 0.9997513369742413)]"
C0135,"[('C0081', 0.9976654214779496), ('C0067', 0.9941248115658918), ('C0177', 0.9941248115658918)]"
C0136,"[('C0168', 0.9998212965027082), ('C0086', 0.9998043786468022), ('C0104', 0.9998043786468022)]"
C0137,"[('C0048', 0.9999999999999999), ('C0118', 0.9999999999999999), ('C0117', 0.9998318979250473)]"
C0138,"[('C0016', 0.9999999999999999), ('C0146', 0.9999999999999999), ('C0151', 0.9999999999999999)]"
C0139,"[('C0027', 1.0), ('C0028', 1.0), ('C0156', 1.0)]"
C0140,"[('C0018', 1.0), ('C0198', 0.999988585339948), ('C0188', 0.9996828543094697)]"
C0141,"[('C0116', 0.9999999963258867), ('C0163', 0.9997447473057157), ('C0167', 0.9989855935601555)]"
C0142,"[('C0080', 0.9927089495577632), ('C0161', 0.9927089495577632), ('C0166', 0.9927089495577632)]"
C0143,"[('C0186', 1.0), ('C0102', 0.9995220051321139), ('C0024', 0.996883167833552)]"
C0144,"[('C0176', 0.9999990374926218), ('C0184', 0.9999990374926218), ('C0001', 0.9999149680838706)]"
C0145,"[('C0080', 0.9971819513203761), ('C0161', 0.9971819513203761), ('C0166', 0.9971819513203761)]"
C0146,"[('C0016', 0.9999999999999999), ('C0138', 0.9999999999999999), ('C0151', 0.9999999999999999)]"
C0147,"[('C0073', 0.9999999999999999), ('C0110', 0.9999552067787236), ('C0033', 0.998754272150145)]"
C0148,"[('C0128', 1.0), ('C0153', 0.9987636844357208), ('C0168', 0.9937091467033239)]"
C0149,"[('C0033', 0.9967760888421425), ('C0110', 0.9927156159406811), ('C0073', 0.9915308063755084)]"
C0150,"[('C0107', 0.9999997961188712), ('C0124', 0.9999926572430128), ('C0167', 0.9999489054396272)]"
C0151,"[('C0016', 0.9999999999999999), ('C0138', 0.9999999999999999), ('C0146', 0.9999999999999999)]"
C0152,"[('C0078', 0.9997467099220072), ('C0091', 0.9992451595912956), ('C0068', 0.9977361149123608)]"
C0153,"[('C0128', 0.9987636844357208), ('C0148', 0.9987636844357208), ('C0044', 0.9893778433033825)]"
C0154,"[('C0178', 0.9995413655755848), ('C0064', 0.9994517059736884), ('C0024', 0.9988288120117448)]"
C0155,"[('C0008', 0.9999999999999999), ('C0096', 0.9999999999999999), ('C0085', 0.9999455021737358)]"
C0156,"[('C0027', 1.0), ('C0028', 1.0), ('C0139', 1.0)]"
C0157,"[('C0019', 0.9997734050635808), ('C0006', 0.9995240020251994), ('C0190', 0.9982196454042116)]"
C0158,"[('C0074', 0.9999886960015865), ('C0172', 0.9998615277088773), ('C0134', 0.9997513369742413)]"
C0159,"[('C0130', 1.0000000000000002), ('C0038', 0.9992511043205303), ('C0049', 0.9992450683425848)]"
C0160,"[('C0126', 0.9997051094724243), ('C0197', 0.9986564145017859), ('C0182', 0.9985531089765666)]"
C0161,"[('C0080', 1.0), ('C0166', 1.0), ('C0170', 1.0)]"
C0162,"[('C0122', 0.9997201828273717), ('C0023', 0.9994877240008451), ('C0100', 0.9994877240008451)]"
C0163,"[('C0167', 0.9997479799946442), ('C0116', 0.999746680338638), ('C0141', 0.9997447473057157)]"
C0164,"[('C0103', 1.0), ('C0196', 0.999577429474427), ('C0190', 0.995910682136723)]"
C0165,"[('C0101', 0.9999208788039833), ('C0060', 0.999885750636032), ('C0021', 0.9996468393556626)]"
C0166,"[('C0080', 1.0), ('C0161', 1.0), ('C0170', 1.0)]"
C0167,"[('C0124', 0.9999803013581446), ('C0150', 0.9999489054396272), ('C0107', 0.9999422465090572)]"
C0168,"[('C0136', 0.9998212965027082), ('C0086', 0.9992518027534207), ('C0104', 0.9992518027534207)]"
C0169,"[('C0031', 1.0000000000000002), ('C0095', 0.9996686061983994), ('C0098', 0.9995836790850277)]"
C0170,"[('C0080', 1.0), ('C0161', 1.0), ('C0166', 1.0)]"
C0171,"[('C0088', 0.9995670899569723), ('C0099', 0.9995670899569723), ('C0120', 0.9995670899569723)]"
C0172,"[('C0074', 0.9999293498190533), ('C0158', 0.9998615277088773), ('C0048', 0.9994278738448517)]"
C0173,"[('C0016', 0.9999999999999999), ('C0138', 0.9999999999999999), ('C0146', 0.9999999999999999)]"
C0174,"[('C0047', 0.9999660689101771), ('C0059', 0.9993014397056792), ('C0093', 0.9988596043889143)]"
C0175,"[('C0094', 0.9988516902991407), ('C0079', 0.9971960328698685), ('C0083', 0.9971960328698685)]"
C0176,"[('C0184', 1.0), ('C0144', 0.9999990374926218), ('C0001', 0.9999320987871537)]"
C0177,"[('C0067', 1.0), ('C0185', 0.9983893601024333), ('C0015', 0.9952120184759017)]"
C0178,"[('C0064', 0.9999959992877371), ('C0154', 0.9995413655755848), ('C0045', 0.9977116547513752)]"
C0179,"[('C0036', 0.9989230477869189), ('C0112', 0.9988425554607734), ('C0017', 0.9958790890835019)]"
C0180,"[('C0098', 0.999882977779807), ('C0052', 0.9998632913349232), ('C0066', 0.9998632913349232)]"
C0181,"[('C0027', 1.0), ('C0028', 1.0), ('C0139', 1.0)]"
C0182,"[('C0004', 0.9999995144290006), ('C0119', 0.9999995144290006), ('C0195', 0.9999995144290006)]"
C0183,"[('C0003', 0.9999944878772635), ('C0134', 0.9999260615251416), ('C0158', 0.9994062505205294)]"
C0184,"[('C0176', 1.0), ('C0144', 0.9999990374926218), ('C0001', 0.9999320987871537)]"
C0185,"[('C0015', 0.9991541986843968), ('C0055', 0.9991541986843968), ('C0063', 0.9991541986843968)]"
C0186,"[('C0143', 1.0), ('C0102', 0.9995220051321139), ('C0024', 0.996883167833552)]"
C0187,"[('C0013', 1.0000000000000002), ('C0039', 1.0000000000000002), ('C0016', 0.9995322560430514)]"
C0188,"[('C0198', 0.999791768088834), ('C0018', 0.9996828543094697), ('C0140', 0.9996828543094697)]"
C0189,"[('C0023', 1.0), ('C0100', 1.0), ('C0090', 0.9999904162879957)]"
C0190,"[('C0006', 0.9995731603559098), ('C0157', 0.9982196454042116), ('C0196', 0.9981159604384623)]"
C0191,"[('C0017', 0.9999966605945504), ('C0031', 0.9994976191552308), ('C0169', 0.9994976191552308)]"
C0192,"[('C0144', 0.9987419901955363), ('C0176', 0.998699133311311), ('C0184', 0.998699133311311)]"
C0193,"[('C0070', 1.0), ('C0076', 0.9971069800234167), ('C0123', 0.9971069800234167)]"
C0194,"[('C0010', 0.9999942758297593), ('C0111', 0.9999788778273013), ('C0053', 0.9999188402686235)]"
C0195,"[('C0004', 0.9999999999999999), ('C0119', 0.9999999999999999), ('C0182', 0.9999995144290006)]"
C0196,"[('C0103', 0.999577429474427), ('C0164', 0.999577429474427), ('C0190', 0.9981159604384623)]"
C0197,"[('C0182', 0.9999980857860261), ('C0004', 0.9999956720192056), ('C0119', 0.9999956720192056)]"
C0198,"[('C0018', 0.999988585339948), ('C0140', 0.999988585339948), ('C0188', 0.999791768088834)]"
C0199,"[('C0069', 0.9999964775249481), ('C0109', 0.999664804010411), ('C0087', 0.9992286427837254)]"
C0200,"[('C0046', 0.9999412033844928), ('C0068', 0.9998278112005046), ('C0131', 0.9997067696850551)]"
